Anrede,firstName,lastName,email,phone,Adresse,Stadt,company_name,company_website,listing_url,source,enrichment_status
,,,info@immobilien-quartier.de,,31785 Niedersachsen - Hameln,Hameln,Immobilien Quartier GmbH,https://www.immobilien-quartier.de,https://www.kleinanzeigen.de/s-anzeige/ihr-neues-immobilien-quartier-barrierefreie-energieeffiziente-kfw-40-wohnung-mit-foerderung-/3008073711-196-3066,kleinanzeigen,enriched
,,,twe@twe-immobilien.de,,87534 Bayern - Oberstaufen,Oberstaufen,TWE-Immobilien,https://www.twe-immobilien.de,https://www.kleinanzeigen.de/s-anzeige/immobilienperle-im-allgaeu-3-familienhaus-mit-grossem-potenzial/3342652998-208-8600,kleinanzeigen,enriched
,,,,,83026 Bayern - Rosenheim,Rosenheim,Panorama Scouting GmbH,https://www.panoramaed.com,https://www.kleinanzeigen.de/s-anzeige/kroatien-novigrad-istrien-modernes-appartement-im-neubau-immobilie-a3881/3341887485-275-7580,kleinanzeigen,no_email_found
,,,,,09228 Sachsen - Wittgensdorf,Wittgensdorf,Sophia Kröhner,,https://www.kleinanzeigen.de/s-anzeige/immobilien-mit-konzept-rendite-5-trifft-sicherheit/3058443337-208-3894,kleinanzeigen,no_website
,,,info@massa-haus.de,,49205 Osnabrück - Hasbergen,Hasbergen,massa Haus Marko Pritsch,https://www.massa-haus.de,https://www.kleinanzeigen.de/s-anzeige/vom-grundstueck-bis-zum-haus-der-weg-zur-eigenen-immobilie-/3019672397-208-2607,kleinanzeigen,enriched
,,,,,06122 Sachsen-Anhalt - Halle,Halle,deutsche-pflegeimmo.de,https://www.deutsche-pflegeimmo.de,https://www.kleinanzeigen.de/s-anzeige/-kapitalanlage-pflegeimmobilie-langfristig-verpachtet-ohne-vermietungsaufwand-kfw-gefoerdert-pflegeapartment-wohnung-im-pflegeheim-betreutes-wohnen-pflegewohnung-pflegezimmer-seniorenwohnung/2853098977-196-2425,kleinanzeigen,no_impressum
,,,info@kientz-immobilien.de,,77963 Baden-Württemberg - Schwanau,Schwanau,Kientz Immobilien,https://www.kientz-immobilien.de,https://www.kleinanzeigen.de/s-anzeige/immobilienensemble-mit-mehrwert-wohnen-gewerbe-neubaupotenzial-nahe-europapark/3304009306-208-8038,kleinanzeigen,enriched
,,,info@immobilien-ludt.de,,66123 Saarbrücken - Saarbrücken-Mitte,Saarbrücken-Mitte,Premium TOP Makler,https://www.immobilien-ludt.de,https://www.kleinanzeigen.de/s-anzeige/die-ideale-kapitalanlage-neubau-bereits-fertiggestellt-dauerhaft-vermietete-pflegeimmobilien-bis-zu-3-75-rendite-provisionsfrei-/3229767359-196-16862,kleinanzeigen,enriched
,,,basel@cmxs.de,,56626 Rheinland-Pfalz - Andernach,Andernach,Kirchner & Müller Immobilien GmbH,https://www.cmxs.de,https://www.kleinanzeigen.de/s-anzeige/rheinblick-geschichte-lebensgefuehl-besondere-immobilie-in-andernach/3418195048-208-4944,kleinanzeigen,enriched
,,,,,72181 Baden-Württemberg - Starzach,Starzach,Schwabenhaus Reutlingen - Erik Reis - Handelsvertretung für die Schwabenhaus GmbH,,https://www.kleinanzeigen.de/s-anzeige/miet-kauf-immobilie-abzugeben-mit-photovoltaikanlage-und-waermepumpe-kfw-40/3367806283-205-8157,kleinanzeigen,no_website
,,,presserecht@berlinerverlag.com,,50667 Innenstadt - Köln Altstadt,Köln Altstadt,Immorenten,https://www.berliner-zeitung.de,https://www.kleinanzeigen.de/s-anzeige/164-109-neubau-kapitalanlage-pflegeimmobilie/2880650029-196-983,kleinanzeigen,enriched
,,,info@heyen-immobilien.de,,26203 Niedersachsen - Wardenburg,Wardenburg,HEYEN Immobilien GmbH,https://www.heyen-immobilien.de,https://www.kleinanzeigen.de/s-anzeige/immobilien-besichtigungen-neues-wohn-und-geschaeftshaus-mitten-in-wardenburg/3405763161-196-2645,kleinanzeigen,enriched
,,,info@kominos-immobilien.de,,57368 Nordrhein-Westfalen - Lennestadt,Lennestadt,Kominos Immobilien,https://www.kominos-immobilien.de,https://www.kleinanzeigen.de/s-anzeige/-kominos-immobilien-sanierte-eigentumswohnung-in-halberbracht/3290687499-196-1463,kleinanzeigen,enriched
,,,,,96274 Bayern - Itzgrund,Itzgrund,Verkaufsberater Massa-Haus,,https://www.kleinanzeigen.de/s-anzeige/top-immobilie-zum-schnaeppchenpreis/3038765520-208-6959,kleinanzeigen,no_website
,,,feedback@imo.im,,72401 Baden-Württemberg - Haigerloch,Haigerloch,IMO-FINANZ Immobilien Hans-Peter Riester,https://imo.im,https://www.kleinanzeigen.de/s-anzeige/immobilienpaket-in-haigerloch-trillfingen/3138427963-208-8702,kleinanzeigen,enriched
